SchemeCode,NAV,NAV_Date
100848,1092.0644,2018-05-20
100849,1114.15,2018-05-20
100851,6542.4544,2025-12-18
100852,1528.74,2025-12-18
100853,1530.5582,2025-12-18
100855,1589.2688,2025-12-18
100856,61.5957,2025-12-18
100857,11.6341,2025-12-18
100858,12.12,2025-12-18
100859,43.9912,2025-12-18
100864,31.9987,2025-12-18
100865,152.853,2025-12-18
100868,5259.9586,2025-12-18
100872,10.0,2012-12-17
100874,1031.5121,2025-12-18
100875,1019.82,2025-12-18
100876,1030.0439,2025-12-18
100878,10.0,2015-04-14
100881,10.0,2012-05-14
100899,44.0722,2017-10-18
100900,295.559,2025-12-18
100915,67.9856,2025-12-18
100927,21.7808,2025-12-18
100928,21.3012,2025-12-18
100929,26.0519,2025-12-18
100948,91.8526,2025-12-18
100949,13.0719,2025-12-18
100950,12.2357,2025-12-18
100952,48.1366,2018-05-25
100953,12.3602,2018-05-25
100954,13.5226,2018-05-25
100955,12.8248,2018-05-25
100968,73.8565,2025-12-18
100997,51.722,2022-01-14
100998,595.168,2022-01-14
100999,20.3866,2025-12-18
101001,66.2983,2025-12-18
101002,64.7219,2025-12-18
101003,21.0498,2025-12-18
101042,78.0752,2025-12-18
101044,10.2855,2025-12-18
101048,41.9815,2025-12-18
101049,21.6434,2025-12-18
101065,208.2998,2025-12-18
101066,74.0513,2025-12-18
101069,59.4757,2025-12-18
101070,431.2091,2025-12-18
101071,141.7095,2025-12-18
101072,154.5875,2025-12-18
101078,10.4302,2025-12-18
101083,55.7174,2025-12-18
101084,12.1389,2025-12-18
101098,69.6122,2018-05-25
101127,326.59,2025-12-18
101143,35.7701,2025-12-18
101144,810.3754,2025-12-18
101161,296.594,2025-12-18
101162,296.594,2025-12-18
101163,62.9274,2025-12-18
101165,12.072,2025-12-18
101169,110.3349,2025-12-18
101181,25.7853,2025-12-18
101184,1000.1751,2025-12-18
101185,4845.1864,2025-12-18
101186,38.6487,2022-09-23
101187,42.8764,2025-12-18
101188,25.4493,2025-12-18
101198,54.1146,2025-12-18
101199,157.8805,2025-12-18
101200,52.5772,2025-12-18
101201,142.5254,2025-12-18
101206,4260.429,2025-12-18
101209,160.01,2025-12-18
101221,306.6704,2020-04-24
101222,91.1453,2025-12-18
101224,20.1116,2022-09-23
101228,786.28,2025-12-18
101229,12.6927,2019-07-03
101230,12.8807,2020-04-24
101231,43.8071,2020-04-24
101232,15041.2784,2025-05-02
101236,4197.152,2025-05-02
101237,0.0,2015-06-08
101238,4366.3354,2025-05-02
101242,3801.5971,2025-05-02
101244,12430.0,2025-05-02
101246,0.0,2018-04-27
101262,339.2242,2025-12-18
101263,339.2242,2025-12-18
101264,63.5544,2025-12-18
101271,32.3154,2025-12-18
101281,783.8693,2025-12-18
101295,76.4972,2025-12-18
101303,10.1778,2025-12-18
101304,47.7518,2025-12-18
101305,12.5769,2025-12-18
101306,11.5951,2025-12-18
101313,26.7376,2025-12-18
101314,261.6438,2025-12-18
101316,546.5719,2025-12-18
